Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,SS_Income,Draw_IRA,Draw_Brokerage,Draw_Roth,Roth_Conversion,RMD,MAGI,Shortfall,End_Bal_IRA,End_Bal_Brokerage,End_Bal_Roth,Total_Assets,View
2025,58,56,GoGo,Joint,120000,1100,0,0,120000,0,42500,0,42500,0,1046750,390000,168238,1604988,Start
2025,58,56,GoGo,Joint,120000,1100,0,0,120000,0,42500,0,42500,0,1046750,390000,168238,1604988,PreMedicare
2032,65,63,Slow,Joint,127228,0,43278,0,0,83950,0,0,0,0,1199755,0,276805,1476561,PostMedicare
2040,73,71,NoGo,Joint,142405,9266,56989,33536,0,0,0,51879,133856,0,1366738,0,0,1366738,FirstRMD
