Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,SS_Income,Draw_IRA,Draw_Brokerage,Draw_Roth,Roth_Conversion,RMD,MAGI,Shortfall,End_Bal_IRA,End_Bal_Brokerage,End_Bal_Roth,Total_Assets,View
2025,58,56,GoGo,Joint,30000,1100,0,0,30000,0,42500,0,42500,0,1046750,483600,168238,1698588,Start
2025,58,56,GoGo,Joint,30000,1100,0,0,30000,0,42500,0,42500,0,1046750,483600,168238,1698588,PreMedicare
2032,65,63,Slow,Joint,38168,0,43278,0,0,0,0,0,0,0,1199755,509899,678212,2387867,PostMedicare
2040,73,71,NoGo,Joint,50260,7185,56989,0,0,0,0,68075,116516,0,1840068,768630,1209577,3818275,FirstRMD
